start_time,end_time
5.267,8.867
27.267,38.267
62.400,75.400
92.000,95.467
106.467,116.467
130.533,137.933
156.667,160.133
171.200,176.333
202.733,219.333
251.867,255.800
264.467,266.533
281.333,287.200
301.067,305.200
324.400,332.400
359.800,362.067
382.200,387.667
480.667,484.000
501.533,507.067
531.667,535.933
551.000,555.267
569.800,573.200
583.600,597.800
619.933,628.267
648.600,651.733
662.667,672.800
688.867,695.867
711.067,715.000
727.333,730.933
759.867,763.667
770.000,776.600
797.733,800.733
819.800,835.400
858.200,862.133
876.733,881.600,